,title,rental price,bedrooms,bathrooms,Area (SF),"latitude,longitude",cats are OK - purrr,dogs are OK - wooof,w/d in unit,wd in unit,laundry in bldg,laundry on site,attached garage,detached garage,carport,furnished,no smoking,wheelchair accessible,lat.,long.,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
870,Russian Hill/1320Lombard&Polk/W/D in unit/Remodeled/Available Now!!,4995,2,2.0,,"(37.801506, -122.423236)",1,1,0,1,0,0,0,0,0,0,0,0,37.801505999999996,-122.42323600000002,1.0,rooftop,1305.0,Lombard St,San Francisco,CA,San Francisco County,94109.0
871,Lower Pac heights/1440 Sutter&Gough/Deck/Fireplace/Available Now!!!,4195,2,2.0,,"(37.787254, -122.424075)",0,1,0,0,1,0,0,0,0,0,0,0,37.787254,-122.424075,1.0,rooftop,1440.0,Sutter St,San Francisco,CA,San Francisco County,94109.0
872,Alamo Square/915 Pierce&Golden Gate/W/D in unit/Available Now!!,4895,2,1.0,,"(37.778346, -122.435079)",1,1,0,1,0,0,0,0,0,0,0,0,37.778346,-122.435079,1.0,rooftop,1398.0,McAllister St,San Francisco,CA,San Francisco County,94115.0
873,Hayes Valley/300Buchanan&Haight /Remodeled/W/D in unit/Available Now!!,4695,2,1.0,,"(37.772525, -122.427158)",1,1,0,1,0,0,0,0,0,0,0,0,37.772525,-122.427158,1.0,nearest_street,300.0,Haight St,San Francisco,CA,San Francisco County,94102.0
874,Alamo Square/990 Fulton&Steiner/W/D in unit/Available Now!!,4795,2,1.0,,"(37.777507, -122.433085)",1,1,0,1,0,0,0,0,0,0,0,0,37.777507,-122.433085,1.0,rooftop,898.0,Steiner St,San Francisco,CA,San Francisco County,94117.0
875,Hayes Valley/16Laguna&Market/Great views/W/D in unit/Available Now,4295,2,1.0,,"(37.77089, -122.42514)",1,1,0,1,0,0,0,0,0,0,0,0,37.77089,-122.42513999999998,1.0,rooftop,1896.0,Market St,San Francisco,CA,San Francisco County,94102.0
876,Hayes Valley/16Laguna&Market/Great views/Available Now,4695,2,1.0,,"(37.77089, -122.42514)",1,1,0,0,1,0,0,0,0,0,0,0,37.77089,-122.42513999999998,1.0,rooftop,1896.0,Market St,San Francisco,CA,San Francisco County,94102.0
877,Nob Hill/655Powell&Pine/Remodeled/W/D in unit/Available Now!!,4795,2,2.0,,"(37.790836, -122.408925)",1,1,0,1,0,0,0,0,0,0,0,0,37.790836,-122.408925,1.0,rooftop,655.0,Powell St,San Francisco,CA,San Francisco County,94108.0
878,Nob Hill/737 Pine&Powell/Remodeled/Available Now!!,4695,2,1.0,,"(37.791205, -122.40806)",1,1,0,1,0,0,1,0,0,0,0,0,37.791205,-122.40806,1.0,nearest_street,722.0,Pine St,San Francisco,CA,San Francisco County,94108.0
879,Mission Dolores/1064Dolores&24th/Remodeled/W/D in unit/Available Now!!,4595,2,1.0,,"(37.752393, -122.425264)",1,1,0,1,0,0,0,0,0,0,0,0,37.752393,-122.42526399999998,1.0,rooftop,1074.0,Dolores St,San Francisco,CA,San Francisco County,94114.0
881,Looking for city views? Classic 2X2 High-Rise Apt W/ Hardwood Floors!,3449,2,2.0,1083.0,"(37.716788, -122.475918)",1,1,0,0,0,0,0,0,0,0,0,0,37.716788,-122.475918,1.0,nearest_street,300.0,Gonzalez Dr,San Francisco,CA,San Francisco County,94132.0
882,Mission Dolores/500 Church&17th/W/D in unit/Muni/Available Now!!,4695,2,1.0,,"(37.76289, -122.428509)",1,1,0,1,0,0,0,0,0,0,0,0,37.762890000000006,-122.428509,1.0,nearest_street,3700.0,17th St,San Francisco,CA,San Francisco County,94114.0
883,Mission Dolores/3875 18th&Sanchez/Great Views/Available Now!!,4795,2,1.0,,"(37.761188, -122.43003)",1,1,0,0,1,0,0,0,0,0,0,0,37.761188,-122.43003,1.0,rooftop,3876.0,18th St,San Francisco,CA,San Francisco County,94114.0
884,Marina/3820 Scott&Marina Blvd/Remodeled/W/D in unit/Available Now!!,4795,2,1.0,,"(37.804917, -122.442132)",1,1,0,1,0,0,0,0,0,0,0,0,37.804916999999996,-122.442132,1.0,rooftop,3824.0,Scott St,San Francisco,CA,San Francisco County,94123.0
885,Renovated 3 Bed / 1.5 Bath with New Carpet/Paint/Stainless Appliances,4435,3,1.5,,"(37.794991, -122.407168)",0,0,0,0,0,0,0,0,0,0,0,0,37.794990999999996,-122.407168,1.0,rooftop,833.0,Washington St,San Francisco,CA,San Francisco County,94108.0
886,Apt#104 - STUNNING 2BED/2Ba w/Balcony!W/D in Unit! Bright Corner Unit!,5705,2,2.0,1078.0,"(37.771804, -122.426621)",1,1,0,1,0,0,0,0,0,0,1,1,37.771803999999996,-122.426621,1.0,rooftop,200.0,Buchanan St,San Francisco,CA,San Francisco County,94102.0
887,Bernal Heights/30 Highland&Mission/Private Deck/W/D in unit!!,5495,2,2.0,,"(37.737551, -122.425111)",0,0,0,1,0,0,1,0,0,0,0,0,37.737551,-122.42511100000002,1.0,nearest_street,16.0,Highland Ave,San Francisco,CA,San Francisco County,94110.0
888,"Great Location, Over-sized, Classic 2Br 2Ba High-Rise Apt W/ Carpet",3459,2,2.0,1093.0,"(37.716788, -122.475918)",1,1,0,0,0,0,0,0,0,0,0,0,37.716788,-122.475918,1.0,nearest_street,300.0,Gonzalez Dr,San Francisco,CA,San Francisco County,94132.0
890,"Top floor 2 bdrm new kitchen w/ garage,  laundry [14th & Valencia]",4000,2,1.0,900.0,"(37.7725, -122.4147)",0,0,0,0,1,0,1,0,0,0,0,0,37.7725,-122.4147,1.0,rooftop,245.0,11th St,San Francisco,CA,San Francisco County,94103.0
891,Open space apartment w/new carpets and bathroom,3400,2,1.0,800.0,"(37.760358, -122.464981)",1,1,0,0,1,0,1,0,0,0,1,0,37.760358000000004,-122.46498100000001,1.0,nearest_street,1500.0,8th Ave,San Francisco,CA,San Francisco County,94122.0
892,"Quiet Flat Below Coit Tower - Walk to Financial District, Embarcadero",4600,3,1.0,,"(37.802559, -122.407521)",0,0,0,0,0,1,0,0,0,0,1,0,37.802559,-122.407521,1.0,rooftop,475.0,Greenwich St,San Francisco,CA,San Francisco County,94133.0
897,Top Floor Remodeled 3Bed/2Bath Available Now,5995,3,2.0,1400.0,"(37.792204, -122.415377)",1,0,0,1,0,0,1,0,0,0,1,0,37.792204,-122.415377,1.0,rooftop,1362.0,Sacramento St,San Francisco,CA,San Francisco County,94109.0
898,Don't Leave Your Pet Behind! Classic 2Br 2Ba High-Rise Apt W/ Carpet,3369,2,2.0,1083.0,"(37.715011, -122.472991)",1,1,0,0,0,0,0,0,0,0,0,0,37.715011,-122.472991,1.0,nearest_street,101.0,Font Blvd,San Francisco,CA,San Francisco County,94132.0
899,Corner Unit One Bedroom With Beautiful Ferry Building View!,4880,2,1.0,886.0,"(37.791456, -122.392342)",1,1,0,0,1,0,1,0,0,0,1,1,37.791456,-122.392342,1.0,rooftop,88.0,Howard St,San Francisco,CA,San Francisco County,94105.0
900,*New* Modern 2 Bed with Private Roofdeck,4995,2,2.0,,"(37.782383, -122.460136)",0,0,0,1,0,0,1,0,0,0,0,0,37.782383,-122.460136,1.0,rooftop,321.0,2nd Ave,San Francisco,CA,San Francisco County,94118.0
902,Spacious 2BD/2BA In Trophy Residence,4495,2,2.0,1600.0,"(37.791859, -122.425177)",0,0,0,0,0,1,0,0,0,0,1,0,37.791859,-122.425177,1.0,rooftop,1945.0,Clay St,San Francisco,CA,San Francisco County,94109.0
903,*New* Bright Modern 3 Bedroom/2 Bath,6495,3,2.0,,"(37.778992, -122.461166)",0,0,0,1,0,0,1,0,0,0,0,0,37.778991999999995,-122.46116599999999,1.0,rooftop,509.0,3rd Ave,San Francisco,CA,San Francisco County,94118.0
904,*New* Modern and Spacious 2 Bed/2 Bath w/ Private Terrace - Furnished,6995,2,2.0,,"(37.782383, -122.460136)",0,0,0,1,0,0,1,0,0,0,0,0,37.782383,-122.460136,1.0,rooftop,321.0,2nd Ave,San Francisco,CA,San Francisco County,94118.0
905,Inner Sunset/1855 10thAve&Noriega/Remodeled/W/D in unit/Available Now!,3995,3,1.0,,"(37.75364, -122.466658)",1,1,0,0,1,0,0,0,0,0,0,0,37.753640000000004,-122.46665800000001,1.0,rooftop,1852.0,10th Ave,San Francisco,CA,San Francisco County,94122.0
906,Inner Sunset/1855 10thAve&Noriega/Remodeled/Available Now!!,3695,2,1.0,,"(37.75364, -122.466658)",1,1,0,0,1,0,0,0,0,0,0,0,37.753640000000004,-122.46665800000001,1.0,rooftop,1852.0,10th Ave,San Francisco,CA,San Francisco County,94122.0
907,Pacific Heights/1870 Pacific&Gough/W/D in unit/Available Now!!,4895,2,2.0,,"(37.794458, -122.426045)",1,1,0,1,0,0,0,0,0,0,0,0,37.794458,-122.426045,1.0,rooftop,1885.0,Pacific Ave,San Francisco,CA,San Francisco County,94109.0
908,2 Bedroom Apartment,3750,2,1.0,850.0,"(37.770675, -122.449203)",1,1,0,0,0,1,0,0,0,0,1,0,37.770675,-122.449203,1.0,rooftop,1705.0,Page St,San Francisco,CA,San Francisco County,94117.0
909,2x2 with Bay Bridge and Ferry Building Views!!!,5250,2,2.0,,"(37.796797, -122.398211)",0,0,0,0,1,0,0,0,0,0,1,0,37.796797,-122.398211,1.0,rooftop,440.0,Davis Ct,San Francisco,CA,San Francisco County,94111.0
910,Great House with Contemporay Furnishing and Houswares included !!,4200,2,1.0,1100.0,"(37.719823, -122.462253)",1,0,0,1,0,0,0,0,0,0,0,0,37.719823,-122.462253,1.0,rooftop,582.0,Orizaba Ave,San Francisco,CA,San Francisco County,94112.0
911,"Beautiful Spacious 2 Bdrm, 1 Bath Apartment",2850,2,1.0,950.0,"(37.7441, -122.4863)",0,0,0,0,1,0,0,0,0,0,1,0,37.7441,-122.4863,1.0,rooftop,2310.0,29th Ave,San Francisco,CA,San Francisco County,94116.0
913,"2br, 1ba top floor, spacious unit w/ laundry",3700,2,1.0,,"(37.787321, -122.431108)",0,0,0,0,0,0,0,0,0,0,1,0,37.787321,-122.43110800000001,1.0,rooftop,2056.0,Bush St,San Francisco,CA,San Francisco County,94115.0
914,1 month FREE rent  | Top Floor | Corner Unit | Ocean Views | 2395 29th,3695,2,1.0,,"(37.742655, -122.486413)",1,1,0,0,1,0,0,0,0,0,0,0,37.742655,-122.48641299999998,1.0,rooftop,2394.0,29th Ave,San Francisco,CA,San Francisco County,94116.0
918,Large 2Bd/1Ba in Pacific Heights FREE Parking:,3995,2,1.0,,"(37.785248, -122.439873)",0,0,0,0,1,0,1,0,0,0,1,0,37.785247999999996,-122.43987299999999,1.0,nearest_street,1700.0,Divisadero St,San Francisco,CA,San Francisco County,94115.0
919,2BR Apartment with Amazing City Views located in the heart of SF!,4195,2,1.0,,"(37.761582, -122.438056)",1,1,0,0,1,0,0,0,0,0,0,0,37.761582000000004,-122.438056,1.0,rooftop,2645.0,Market St,San Francisco,CA,San Francisco County,94114.0
920,"1915 California Street, #301  2 Bed/2 Bath",3895,2,2.0,,"(37.789952, -122.425616)",0,0,0,0,1,0,0,0,0,0,1,0,37.789952,-122.42561599999999,1.0,nearest_street,1900.0,California St,San Francisco,CA,San Francisco County,94109.0
923,What a Treat! Save $1000 on your Immediate Move-in! Huge 2b2b Home!,4769,2,2.0,1095.0,"(37.772434, -122.39726)",1,1,0,1,0,0,0,1,0,0,1,1,37.772434000000004,-122.39726,1.0,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158.0
927,2 bed / 2 bath Townhome - Available immediately,3600,2,2.0,,"(37.781031, -122.42044)",0,0,0,0,1,0,0,0,1,0,0,0,37.781031,-122.42043999999999,1.0,nearest_street,600.0,Van Ness Ave,San Francisco,CA,San Francisco County,94102.0
928,"Quiet, light filled 2BR/2BA in beautiful Victorian in Presidio Heights",4900,2,2.0,950.0,"(37.789457, -122.444119)",1,1,0,1,0,0,0,0,0,0,0,0,37.789457,-122.444119,1.0,nearest_street,2000.0,Baker St,San Francisco,CA,San Francisco County,94115.0
930,Got Sunshine? Got Views? O&M Does! Leasing Today!,4395,2,2.0,866.0,"(37.761691, -122.39188)",1,1,0,1,0,0,1,0,0,0,1,1,37.761691,-122.39188,1.0,rooftop,690.0,Indiana St,San Francisco,CA,San Francisco County,94107.0
932,"370 Upper Terrace #6, San Francisco",4350,2,1.0,,"(37.762575, -122.44602)",1,1,0,0,0,0,1,0,0,0,1,0,37.762575,-122.44601999999999,1.0,rooftop,350.0,Upper Ter,San Francisco,CA,San Francisco County,94117.0
933,Furnished Stylish and wonderfully relaxing pad!,5795,3,2.0,1400.0,"(37.77727, -122.411388)",0,0,0,1,0,0,0,0,0,1,0,0,37.77727,-122.41138799999999,1.0,rooftop,664.0,Natoma St,San Francisco,CA,San Francisco County,94103.0
937,2nd Floor Luxury 2 Bedroom - GREAT PRICE!,5333,2,2.0,982.0,"(37.787295, -122.392719)",1,1,0,1,0,0,1,0,0,0,1,1,37.787295,-122.392719,1.0,rooftop,350.0,Fremont St,San Francisco,CA,San Francisco County,94105.0
938,"Premier Resident Svcs, Dry Sauna, Sun Deck, Floor to Ceiling Windows",6496,2,2.5,1673.0,"(37.787703, -122.391971)",1,1,0,1,0,0,0,1,0,0,0,0,37.787703,-122.391971,1.0,rooftop,388.0,Beale St,San Francisco,CA,San Francisco County,94105.0
939,✤Newly Remodeled 2/3 Bedroom 1 Bath Apartment Available ✤,4800,3,1.0,,"(37.775048, -122.449638)",0,0,0,1,0,0,0,0,0,0,0,0,37.775048,-122.449638,1.0,rooftop,21.0,Clayton St,San Francisco,CA,San Francisco County,94117.0
942,2 bed/1bath apt in Balboa Village-$2850 all utilities included,2850,2,1.0,800.0,"(37.776036, -122.499486)",0,0,0,0,1,0,0,0,0,1,1,0,37.776036,-122.499486,1.0,rooftop,683.0,39th Ave,San Francisco,CA,San Francisco County,94121.0
943,Gorgeous Newly Renovated 3 Bedroom 2 Bath with In Unit Washer Dryer,7054,3,2.0,,"(37.794895, -122.429989)",0,0,0,1,0,0,1,0,0,1,0,0,37.794895000000004,-122.42998899999999,1.0,nearest_street,2000.0,Broadway St,San Francisco,CA,San Francisco County,94115.0
944,Great Flat,5400,2,2.0,1100.0,"(37.762614, -122.445947)",0,0,0,1,0,0,1,0,0,0,0,1,37.762614,-122.445947,1.0,rooftop,360.0,Upper Ter,San Francisco,CA,San Francisco County,94117.0
945,3 bedroom 1 bath flat - Freshly Remodeled - Casey Belway Zephyr,5100,3,1.0,1500.0,"(37.773906, -122.413938)",0,0,0,1,0,0,0,0,0,0,1,0,37.773906,-122.41393799999999,1.0,rooftop,239.0,10th St,San Francisco,CA,San Francisco County,94103.0
946,BRAND NEW RENOVATED FLAT. UNBEATABLE LOCATION. W/D IN UNIT,4500,2,1.5,,"(37.784994, -122.464572)",0,0,0,1,0,0,0,0,0,0,1,0,37.784994,-122.464572,1.0,nearest_street,4301.0,California St,San Francisco,CA,San Francisco County,94118.0
947,"BREATHTAKING, TOP FLOOR RICHMOND 2 BED/2 BATH W/PARKING!!!",3850,2,2.0,,"(37.779924, -122.492816)",0,0,0,0,1,0,1,0,0,0,0,0,37.779924,-122.49281599999999,1.0,rooftop,6838.0,Geary Blvd,San Francisco,CA,San Francisco County,94121.0
948,Fully Furnished 3 Bedroom Apartment in Lower Nob Hill!,5995,3,1.0,,"(37.789529, -122.413728)",0,0,0,0,0,0,0,0,0,1,0,0,37.789528999999995,-122.413728,1.0,nearest_street,1000.0,Bush St,San Francisco,CA,San Francisco County,94109.0
949,3br - Great SOMA location-3bd 1Ba-Gorgeous Shared Roof Deck,3595,3,1.0,781.0,"(37.772649, -122.415002)",0,0,0,0,1,0,0,0,0,0,1,0,37.772649,-122.415002,1.0,nearest_street,239.0,11th St,San Francisco,CA,San Francisco County,94103.0
950,"New Upscale Fully Furnished 2BR/2BA Great Location, Sunny, Views, W/D",5700,2,2.0,1400.0,"(37.8048, -122.420805)",1,1,0,1,0,0,0,0,0,1,1,0,37.8048,-122.420805,1.0,rooftop,822.0,Bay St,San Francisco,CA,San Francisco County,94109.0
951,"Light Filled 2Br/1Ba Charming Miraloma Home w/Wonderful Garden, close",4150,2,1.0,,"(37.741585, -122.4472)",1,1,0,1,0,0,1,0,0,0,1,0,37.741585,-122.4472,1.0,rooftop,27.0,Encline Ct,San Francisco,CA,San Francisco County,94127.0
952,Exceptional Luxury in the heart of the Financial District,11000,2,2.5,1450.0,"(37.786413, -122.403274)",0,0,0,1,0,0,1,0,0,0,1,0,37.786413,-122.403274,1.0,rooftop,50.0,3rd St,San Francisco,CA,San Francisco County,94103.0
953,"Act fast as this unit will not last* Spectacular unit *2 beds, 1 bath*",3750,2,1.0,850.0,"(37.770675, -122.449203)",0,0,0,0,0,1,0,0,0,0,0,0,37.770675,-122.449203,1.0,rooftop,1705.0,Page St,San Francisco,CA,San Francisco County,94117.0
954,Bright 2Br-great Shops. Rest/Cafes-BART/101-Harrison St @ 23rd,2950,2,1.0,,"(37.753642, -122.411993)",1,0,0,0,0,0,0,0,0,0,0,0,37.753642,-122.411993,1.0,rooftop,2731.0,Harrison St,San Francisco,CA,San Francisco County,94110.0
955,SPECTACULAR! Pet friendly! 3br/2ba. Elevtors. Ensuite W/D.Parkng. VIEW,8495,3,2.0,1820.0,"(37.792217, -122.429447)",1,1,0,1,0,0,1,0,0,0,1,0,37.792217,-122.429447,1.0,nearest_street,2200.0,Washington St,San Francisco,CA,San Francisco County,94115.0
956,"Newly Renovated, trendy 2BR/2BA in Nob Hill; W/D in-unit; Pets OK!",4195,2,2.0,,"(37.789568, -122.413425)",1,1,0,1,0,0,0,0,0,0,0,0,37.789568,-122.413425,1.0,rooftop,850.0,Jones St,San Francisco,CA,San Francisco County,94109.0
957,VIEWS GALORE! Pet friendly! 3br/2ba. Elevtors. Ensuite W/D.Parkng.,8495,3,2.0,1820.0,"(37.792217, -122.429447)",1,1,0,1,0,0,1,0,0,0,1,0,37.792217,-122.429447,1.0,nearest_street,2200.0,Washington St,San Francisco,CA,San Francisco County,94115.0
